"term","Y2","Y3","Y4","Y5","OR_Y2","OR_Y3","OR_Y4","OR_Y5"
"SSADEMO^30",0.356110908949209,0.25683644459593,0.16684976380865,0.272895192253044,1.42776589149758,1.29283365953494,1.1815767363844,1.31376254511648
"SSADEMO^31",0.263699387940238,0.216174421639537,-0.361098364019828,-1.3012951685332,1.30173681969094,1.24131887299252,0.69691044418254,0.272179046913526
"SSADEMO^32",-0.00154661317067125,0.0699887893267262,0.971416257381713,-1.86978979287345,0.998454582219131,1.07249615778281,2.64168311449132,0.154156063112587
"NUR_06.L",0.196779268266157,0.171039781274706,0.255122329200156,0.053146147824941,1.21747527561601,1.18653795007499,1.29061949166671,1.05458375897997
"NUR_06.Q",0.0141200529578821,0.0357465287211005,0.126871055882691,0.610511826032949,1.01422021176632,1.03639311730629,1.135270621875,1.84137362058965
"NUR_06.C",0.101490090606953,0.0864228215049445,-0.101793773402549,-0.159217869123599,1.10681895043358,1.0902672192874,0.903215799584692,0.85281053764307
"NUR_06^4",0.0246651650255383,-0.0183938583050654,-0.118551556822893,0.0403916976747812,1.02497186663214,0.981774276247347,0.888206021395774,1.04121853720723
"NUR_06^5",0.146615230656225,0.175829425749723,-0.0368715083559147,0.139929135032048,1.15790834967032,1.19223467676916,0.963799967635587,1.15019228762951
"NUR_06^6",0.0350385734629679,0.0258900185684166,-0.069253306759322,-0.402577293413411,1.03565965700857,1.02622807623368,0.933090292062088,0.668594658965545
"NUR_07.L",0.0530400019117536,0.0606003599523276,0.422179439473607,-0.0684931795151551,1.05447182516461,1.0624742220821,1.52528219596318,0.933799829049385
"NUR_07.Q",-0.274761077298134,-0.222467686254241,0.118671389786917,0.648783608164184,0.759753623930368,0.800540874806578,1.12599984243818,1.91321219733971
"NUR_07.C",-0.235841743083436,-0.189752946409566,0.190832026580421,0.275625089665136,0.789905672077671,0.827163462405546,1.21025614414351,1.3173538818486
"NUR_07^4",-0.0384990471301439,-0.0128598780699993,0.20820256141529,0.00505886561930687,0.96223262162184,0.987222456845094,1.23146259109175,1.00507168328515
"GEN_02B.L",1.47153527684755,1.25996179968352,2.20431051766777,3.16439984667411,4.35591754944023,3.52528681772108,9.06399994509085,23.6745314196139
"GEN_02B.Q",-0.0915486752392738,-0.136479420348266,-0.0030579703087781,1.05224940366507,0.912516898092634,0.872424274262606,0.996946700520128,2.86408636398108
"GEN_02B.C",-0.0875116073993038,-0.0822152388438336,-0.156247124020951,-0.447106596660507,0.916208236794306,0.921073686523805,0.855347787266201,0.639475738663322
"GEN_02B^4",-0.034489573468178,-0.0342717230044132,-0.164238694989474,-0.359916050442925,0.966098412689821,0.966308900603681,0.848539455588969,0.697734898148102
